sku,attribute_set_code,store_view_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
B40-33,Default,cr,simple,Default Category/Mujer/Bolso/D&iacute;a a d&iacute;a,CR,TOTE FOLK CASTA&ntilde;O,,"11,5"" x 15"" x 6,5"" agarraderas 25""",1070,1,Taxable Goods,"Catalog, Search",  69.000 ,,,,B40-33,TOTE FOLK CASTA&ntilde;O,"Bolso, cuero, casual, diario",Bolso de cuero sin forrar. Cierre de bot&oacute;n.,B40-33_totecastaño_prodcuto.jpg,B40-33_totecastaño_prodcuto,B40-33_totecastaño_prodcuto.jpg,B40-33_totecastaño_prodcuto,B40-33_totecastaño_prodcuto.jpg,B40-33_totecastaño_prodcuto,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,B40-33_totecastaño_modelo.jpg,B40-33_totecastaño_modelo,,,,,,,,,,,
B31-02,Default,cr,simple,Default Category/Mujer/Bolso/D&iacute;a a d&iacute;a,CR,INDIE CACAO,,"13"" x 13,5"" x 2,5"" agarraderas 21,5",1125,1,Taxable Goods,"Catalog, Search",  92.000 ,,,,B31-02,INDIE CAFE OSCURO,"Bolso, cuero, casual, diario","Bolso de cuero forrado en tela. Cierre con zipper, un bolsillo externo en la parte de atr&aacute;s, un bolsillo interno con zipper y un bolsillo interno para el celular. Incluye un accesorio variado.",,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B31-01,Default,cr,simple,Default Category/Mujer/Bolso/D&iacute;a a d&iacute;a,CR,INDIE MIEL,,"13"" x 13,5"" x 2,5"" agarraderas 21,5",1125,1,Taxable Goods,"Catalog, Search",  92.000 ,,,,B31-01,INDIE MIEL,"Bolso, cuero, casual, diario","Bolso de cuero forrado en tela. Cierre con zipper, un bolsillo externo en la parte de atr&aacute;s, un bolsillo interno con zipper y un bolsillo interno para el celular. Incluye un accesorio variado.",,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B31-30,Default,cr,simple,Default Category/Mujer/Bolso/D&iacute;a a d&iacute;a,CR,INDIE NOPPI SABAN,,"13"" x 13,5"" x 2,5"" agarraderas 21,5",1125,1,Taxable Goods,"Catalog, Search",  92.000 ,,,,B31-30,INDIE NOPPI SABAN,"Bolso, cuero, casual, diario","Bolso de cuero forrado en tela. Cierre con zipper, un bolsillo externo en la parte de atr&aacute;s, un bolsillo interno con zipper y un bolsillo interno para el celular. Incluye un accesorio variado.",,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B54-01,Default,cr,simple,Default Category/Mujer/Bolso/D&iacute;a a d&iacute;a,CR,YERBABUENA MIEL,,"11,5"" x 12,5"" x 5"" tira larga 25""- 46""",885,1,Taxable Goods,"Catalog, Search",  75.000 ,,,,B54-01,YERBABUENA MIEL,"Bolso, cuero, casual, diario","Bolso de cuero forrado en tela. Cierre de amarre, un bolsillo interno con zipper y un bolsillo interno para celular. Correa ajustable y removible.",B54-01_yerbabuenamiel_producto1.jpg,B54-01_yerbabuenamiel_producto1,B54-01_yerbabuenamiel_producto1.jpg,B54-01_yerbabuenamiel_producto1,B54-01_yerbabuenamiel_producto1.jpg,B54-01_yerbabuenamiel_producto1,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,B54-01_yerbabuenamiel_producto2.jpg,B54-01_yerbabuenamiel_producto2,,,,,,,,,,,
B54-20,Default,cr,simple,Default Category/Mujer/Bolso/D&iacute;a a d&iacute;a,CR,YERBABUENA ROJO,,"11,5"" x 12,5"" x 5"" tira larga 25""- 46""",885,1,Taxable Goods,"Catalog, Search",  75.000 ,,,,B54-20,YERBABUENA ROJO,"Bolso, cuero, casual, diario","Bolso de cuero forrado en tela. Cierre de amarre, un bolsillo interno con zipper y un bolsillo interno para celular. Correa ajustable y removible.",B54-20_yerbabuenarojo_producto1.jpg,B54-20_yerbabuenarojo_producto1,B54-20_yerbabuenarojo_producto1.jpg,B54-20_yerbabuenarojo_producto1,B54-20_yerbabuenarojo_producto1.jpg,B54-20_yerbabuenarojo_producto1,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"B54-20_yerbabuenarojo_producto2.jpg,B54-20_yerbabuenarojo_modelo.jpg","B54-20_yerbabuenarojo_producto2,B54-20_yerbabuenarojo_modelo",,,,,,,,,,,
B93-59,Default,cr,simple,Default Category/Mujer/Bolso/Ejecutivo,CR,XILEMA SELVA,,"13"" x 18"" agarraderas 26,5""",1035,1,Taxable Goods,"Catalog, Search",  69.000 ,,,,B93-59,XILEMA SELVA,"Bolso, cuero, ejecutivo, negocios",pendiente descripci&oacute;n ,B93-59_xilemaselva_producto1.jpg,B93-59_xilemaselva_producto1,B93-59_xilemaselva_producto1.jpg,B93-59_xilemaselva_producto1,B93-59_xilemaselva_producto1.jpg,B93-59_xilemaselva_producto1,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,B93-59_xilemaselva_modelo.jpg,B93-59_xilemaselva_modelo,,,,,,,,,,,
B93-61,Default,cr,simple,Default Category/Mujer/Bolso/Ejecutivo,CR,XILEMA MACCHIATO,,"13"" x 18"" agarraderas 26,5""",1035,1,Taxable Goods,"Catalog, Search",  69.000 ,,,,B93-61,XILEMA MACCHIATO,"Bolso, cuero, ejecutivo, negocios",pendiente descripci&oacute;n ,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B93-57,Default,cr,simple,Default Category/Mujer/Bolso/Ejecutivo,CR,XILEMA NEGRO LAGARTO,,"13"" x 18"" agarraderas 26,5""",1035,1,Taxable Goods,"Catalog, Search",  69.000 ,,,,B93-57,XILEMA NEGRO LAGARTO,"Bolso, cuero, ejecutivo, negocios",pendiente descripci&oacute;n ,,,,,,,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
B17-01,Default,cr,simple,"Default Category/Hombre, Default Category/Mujer/Bolso/Ejecutivo",CR,JOEL MIEL,,"11"" x 15,5"" x 3"" agarraderas 15"" tira larga 48"" - 54""",1375,1,Taxable Goods,"Catalog, Search",  112.000 ,,,,B17-01,JOEL MIEL,"Melet&iacute;n, cuero, computadora, negocios","Malet&iacute;n de cuero forrado en tela. Cierre con zipper, un bolsillo externo, un bolsillo interno con zipper y un bolsillo interno para el celular. Correa ajustable.",B17-01_joelmiel_producto.jpg,B17-01_joelmiel_producto,B17-01_joelmiel_producto.jpg,B17-01_joelmiel_producto,B17-01_joelmiel_producto.jpg,B17-01_joelmiel_producto,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
