sku,product_type,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,errors
B25-02,simple,B25-02_minimiecafe_producto.jpg,,,,B25-02_minimiecafe_producto.jpg,,,,"Invalid value for Attribute Set column (set doesn't exist?)"
,,B25-02_minimiecafe_modelo.jpg,,,,,,,,"Product Type is invalid or not supported"
B25-49,simple,B25-49_Minimielimpet_producto.jpg,,,,B25-49_Minimielimpet_producto.jpg,,,,"Invalid value for Attribute Set column (set doesn't exist?)"
,,B25-49_minimielimpet_modelo.jpg,,,,,,,,"Product Type is invalid or not supported"
B25-01,simple,B25-01_minimiemiel_producto.jpg,,,,B25-01_minimiemiel_producto.jpg,,,,"Invalid value for Attribute Set column (set doesn't exist?)"
,,B25-01_minimiemiel_modelo.jpg,,,,,,,,"Product Type is invalid or not supported"
