sku,attribute_set_code,store_view_code,product_type,Y,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
A85-56,,,,,,CANGURO NEGRO METALICO,,"""",200,,,,,,,,,CANGURO NEGRO METALICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B20-01,,,,Berry,,BERRY MIEL,,"10,5"" x 12"" tira 53""",365,,,,,,,,,BERRY MIEL,,"Bolso de cuero forrado en tela. Cierre con zipper, un bolsillo interno sin cierre y otro bolsillo interno para el celular.

Leather cross body bag, fabric lined inside. Zipper closure, one open inside pocket and another inside pocket for the cellphone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B20-15,,,,,,BERRY VAINILLA,,"""",355,,,,,,,,,BERRY VAINILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B20-30,,,,,,BERRY NOPPI SABAN,,"""",325,,,,,,,,,BERRY NOPPI SABAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B20-20,,,,,,BERRY ROJO,,"""",350,,,,,,,,,BERRY ROJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B20-49,,,,,,BERRY LIMPET,,·,365,,,,,,,,,BERRY LIMPET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B53-01,,,,Mochila,,MOCHILA OAK MIEL,," 14” x 12""  x 5” tiras 27""-30""",810,,,,,,,,,MOCHILA OAK MIEL,,"Mochila de cuero forrada en tela. Cierre con zipper, un bolsillo externo con zipper y un bolsillo interno con zipper. Correas ajustables.

Leather backpack, fabric lined inside. Zipper closure, one outside zipper pocket and one inside zipper pocket. Adjustable straps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B53-03,,,,,,MOCHILA OAK NEGRO,,"""",810,,,,,,,,,MOCHILA OAK NEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B53-53,,,,,,MOCHILA OAK PLATEADO,,"""",810,,,,,,,,,MOCHILA OAK PLATEADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B53-24,,,,,,MOCHILA OAK SALMON,,"""",810,,,,,,,,,MOCHILA OAK SALMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
