sku,attribute_set_code,store_view_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
A02-01,Default,cr,simple,"Categoria Defecto/Mujer/Accesorios,Categoria Defecto/Mujer",CR,BILLETERA BERRY MIEL,,"4,2"" x 8"" x 0,6""",185,1,Taxable Goods,"Catalog, Search",33000,,,,A02-01,BILLETERA BERRY MIEL,"Billetera, cuero, funcional","Billetera de cuero parcialmente forrada en tela. Cierre con broches magnéticos, catorce ranuras para tarjetas, dos compartimentos internos y un monedero externo con zipper en la parte de atrás",A02-01_billteraberrymiel_producto1.jpg,A02-01_billteraberrymiel_producto1,A02-01_billteraberrymiel_producto1.jpg,A02-01_billteraberrymiel_producto1,A02-01_billteraberrymiel_producto1.jpg,A02-01_billteraberrymiel_producto1,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,"A02-01_billeteraberrymiel_producto3.jpg,A02-01_billeteraberrymiel_producto2.jpg","A02-01_billeteraberrymiel_producto3,A02-01_billeteraberrymiel_producto2",,,,,,,,,,,
A02-01,Default,us,simple,"Default Category/Women/Accessories,Default Category/Women",US,BERRY WALLET HONEY,,"4,2"" x 8"" x 0,6""",185,1,Taxable Goods,"Catalog, Search",111.86,,,,A02-01,BERRY WALLET HONEY,"Wallet, leather, functional","Leather wallet, partially fabric and taffeta lined inside. Magnetic clasp closure, fourteen card slots, two inside compartments and one outside zipper coin pocket on the back.",A02-01_billteraberrymiel_producto1.jpg,A02-01_billteraberrymiel_producto1,A02-01_billteraberrymiel_producto1.jpg,A02-01_billteraberrymiel_producto1,A02-01_billteraberrymiel_producto1.jpg,A02-01_billteraberrymiel_producto1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A02-01_billeteraberrymiel_producto3.jpg,A02-01_billeteraberrymiel_producto2.jpg","A02-01_billeteraberrymiel_producto3,A02-01_billeteraberrymiel_producto2",,,,,,,,,,,
A02-49,Default,cr,simple,"Categoria Defecto/Mujer/Accesorios,Categoria Defecto/Mujer",CR,BILLETERA BERRY LIMPET,,"4,2"" x 8"" x 0,6""",190,1,Taxable Goods,"Catalog, Search",33000,,,,A02-49,BILLETERA BERRY LIMPET,"Billetera, cuero, funcional","Billetera de cuero parcialmente forrada en tela. Cierre con broches magnéticos, catorce ranuras para tarjetas, dos compartimentos internos y un monedero externo con zipper en la parte de atrás",A02-49_billeteraberrylimpet_producto1.jpg,A02-49_billeteraberrylimpet_producto1,A02-49_billeteraberrylimpet_producto1.jpg,A02-49_billeteraberrylimpet_producto1,A02-49_billeteraberrylimpet_producto1.jpg,A02-49_billeteraberrylimpet_producto1,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,"A02-49_billeteraberrylimpet_producto2.jpg,A02-49_billeteraberrylimpet_producto3.jpg","A02-49_billeteraberrylimpet_producto2,A02-49_billeteraberrylimpet_producto3",,,,,,,,,,,
A02-49,Default,us,simple,"Default Category/Women/Accessories,Default Category/Women",US,BERRY WALLET LIMPET,,"4,2"" x 8"" x 0,6""",190,1,Taxable Goods,"Catalog, Search",111.86,,,,A02-49,BERRY WALLET LIMPET,"Wallet, leather, functional","Leather wallet, partially fabric and taffeta lined inside. Magnetic clasp closure, fourteen card slots, two inside compartments and one outside zipper coin pocket on the back.",A02-49_billeteraberrylimpet_producto1.jpg,A02-49_billeteraberrylimpet_producto1,A02-49_billeteraberrylimpet_producto1.jpg,A02-49_billeteraberrylimpet_producto1,A02-49_billeteraberrylimpet_producto1.jpg,A02-49_billeteraberrylimpet_producto1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A02-49_billeteraberrylimpet_producto2.jpg,A02-49_billeteraberrylimpet_producto3.jpg","A02-49_billeteraberrylimpet_producto2,A02-49_billeteraberrylimpet_producto3",,,,,,,,,,,
A02-15,Default,cr,simple,"Categoria Defecto/Mujer/Accesorios,Categoria Defecto/Mujer",CR,BILLETERA BERRY VAINILLA,,"4,2"" x 8"" x 0,6""",190,1,Taxable Goods,"Catalog, Search",33000,,,,A02-15,BILLETERA BERRY VAINILLA,"Billetera, cuero, funcional","Billetera de cuero parcialmente forrada en tela. Cierre con broches magnéticos, catorce ranuras para tarjetas, dos compartimentos internos y un monedero externo con zipper en la parte de atrás",A02-15_billeteraberryvainilla_producto1.jpg,A02-15_billeteraberryvainilla_producto1,A02-15_billeteraberryvainilla_producto1.jpg,A02-15_billeteraberryvainilla_producto1,A02-15_billeteraberryvainilla_producto1.jpg,A02-15_billeteraberryvainilla_producto1,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,"A02-15_billeteraberryvainilla_producto2.jpg,A02-15_billeteraberryvainilla_producto3.jpg","A02-15_billeteraberryvainilla_producto2,A02-15_billeteraberryvainilla_producto3",,,,,,,,,,,
A02-15,Default,us,simple,"Default Category/Women/Accessories,Default Category/Women",US,BERRY WALLET VAINILLA,,"4,2"" x 8"" x 0,6""",190,1,Taxable Goods,"Catalog, Search",111.86,,,,A02-15,BERRY WALLET VAINILLA,"Wallet, leather, functional","Leather wallet, partially fabric and taffeta lined inside. Magnetic clasp closure, fourteen card slots, two inside compartments and one outside zipper coin pocket on the back.",A02-15_billeteraberryvainilla_producto1.jpg,A02-15_billeteraberryvainilla_producto1,A02-15_billeteraberryvainilla_producto1.jpg,A02-15_billeteraberryvainilla_producto1,A02-15_billeteraberryvainilla_producto1.jpg,A02-15_billeteraberryvainilla_producto1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A02-15_billeteraberryvainilla_producto2.jpg,A02-15_billeteraberryvainilla_producto3.jpg","A02-15_billeteraberryvainilla_producto2,A02-15_billeteraberryvainilla_producto3",,,,,,,,,,,
A27-01,Default,cr,simple,Categoria Defecto/Hombre,CR,BILLETERA EJECUTIVA HOMBRE MIEL,,"3,5"" x 4,5"" x 0,6""",76,1,Taxable Goods,"Catalog, Search",30000,,,,A27-01,BILLETERA EJECUTIVA HOMBRE MIEL,"Wallet, leather, casual, men","Billetera de cuero forrada en tela. Seis ranuras para tarjetas, un compartimento para billetes y tres compartimentos internos.",A27-01_billeteraejecutivamiel_producto.jpg,A27-01_billeteraejecutivamiel_producto,A27-01_billeteraejecutivamiel_producto.jpg,A27-01_billeteraejecutivamiel_producto,A27-01_billeteraejecutivamiel_producto.jpg,A27-01_billeteraejecutivamiel_producto,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
A27-01,Default,us,simple,Default Category/Men,US,MEN´S EXECUTIVE WALLET HONEY,,"3,5"" x 4,5"" x 0,6""",76,1,Taxable Goods,"Catalog, Search",101.69,,,,A27-01,MEN EXCECUTIVE WALLET HONEY,"Billetera, cuero, casual, hombre","Leather wallet, fabric lined inside. Six card slots, one bill compartment and three inside compartments.",A27-01_billeteraejecutivamiel_producto.jpg,A27-01_billeteraejecutivamiel_producto,A27-01_billeteraejecutivamiel_producto.jpg,A27-01_billeteraejecutivamiel_producto,A27-01_billeteraejecutivamiel_producto.jpg,A27-01_billeteraejecutivamiel_producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27-03,Default,cr,simple,Categoria Defecto/Hombre,CR,BILLETERA EJECUTIVA HOMBRE NEGRO,,"3,5"" x 4,5"" x 0,6""",89,1,Taxable Goods,"Catalog, Search",30000,,,,A27-03,BILLETERA EJECUTIVA HOMBRE NEGRO,"Wallet, leather, casual, men","Billetera de cuero forrada en tela. Seis ranuras para tarjetas, un compartimento para billetes y tres compartimentos internos.",A27-03_billeteraejecutivanegra_producto.jpg,A27-03_billeteraejecutivanegra_producto,A27-03_billeteraejecutivanegra_producto.jpg,A27-03_billeteraejecutivanegra_producto,A27-03_billeteraejecutivanegra_producto.jpg,A27-03_billeteraejecutivanegra_producto,,,"5/23/19, 11:24 AM","6/26/19, 12:18 PM",5/23/19,5/23/20,Block after Info Column,,,,Use config,,,,,,,,,"featured=Yes,timershow=Yes",20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
A27-03,Default,us,simple,Default Category/Men,US,MEN´S EXECUTIVE WALLET BLACK,,"3,5"" x 4,5"" x 0,6""",89,1,Taxable Goods,"Catalog, Search",101.69,,,,A27-03,MEN EXCECUTIVE WALLET BLACK,"Billetera, cuero, casual, hombre","Leather wallet, fabric lined inside. Six card slots, one bill compartment and three inside compartments.",A27-03_billeteraejecutivanegra_producto.jpg,A27-03_billeteraejecutivanegra_producto,A27-03_billeteraejecutivanegra_producto.jpg,A27-03_billeteraejecutivanegra_producto,A27-03_billeteraejecutivanegra_producto.jpg,A27-03_billeteraejecutivanegra_producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
